Gene_ID	human_gene_ID	TaxID	gene_symbol	human_gene_symbol	unique_human_gene_ID	unique_human_gene_symbol	HGNC_ID	unique_HGNC_ID
117560	687	10116	Klf9	KLF9	687	KLF9	HGNC:1123	HGNC:1123
11757	10935	10090	Prdx3	PRDX3	10935	PRDX3	HGNC:9354	HGNC:9354
11758	9588	10090	Prdx6	PRDX6	9588	PRDX6	HGNC:16753	HGNC:16753
117586	1	10090	A1bg	A1BG	1	A1BG	HGNC:5	HGNC:5
117591	56606	10090	Slc2a9	SLC2A9	56606	SLC2A9	HGNC:13446	HGNC:13446
117600	57522	10090	Srgap1	SRGAP1	57522	SRGAP1	HGNC:17382	HGNC:17382
117606	91653	10090	Boc	BOC	91653	BOC	HGNC:17173	HGNC:17173
11761	316	10090	Aox1	AOX1	316	AOX1	HGNC:553	HGNC:553
11770	2167	10090	Fabp4	FABP4	2167	FABP4	HGNC:3559	HGNC:3559
11772	161	10090	Ap2a2	AP2A2	161	AP2A2	HGNC:562	HGNC:562
11783	317	10090	Apaf1	APAF1	317	APAF1	HGNC:576	HGNC:576
11784	321	10090	Apba2	APBA2	321	APBA2	HGNC:579	HGNC:579
11785	322	10090	Apbb1	APBB1	322	APBB1	HGNC:581	HGNC:581
117855	7536	10116	Sf1	SF1	7536	SF1	HGNC:12950	HGNC:12950
11789	324	10090	Apc	APC	324	APC	HGNC:583	HGNC:583
11792	328	10090	Apex1	APEX1	328	APEX1	HGNC:587	HGNC:587
11793	9474	10090	Atg5	ATG5	9474	ATG5	HGNC:589	HGNC:589
11796	330	10090	Birc3	BIRC3	330	BIRC3	HGNC:591	HGNC:591
11797	329	10090	Birc2	BIRC2	329	BIRC2	HGNC:590	HGNC:590
11798	331	10090	Xiap	XIAP	331	XIAP	HGNC:592	HGNC:592
11799	332	10090	Birc5	BIRC5	332	BIRC5	HGNC:593	HGNC:593
11800	8539	10090	Api5	API5	8539	API5	HGNC:594	HGNC:594
11801	922	10090	Cd5l	CD5L	922	CD5L	HGNC:1690	HGNC:1690
11803	333	10090	Aplp1	APLP1	333	APLP1	HGNC:597	HGNC:597
11804	334	10090	Aplp2	APLP2	334	APLP2	HGNC:598	HGNC:598
11806	335	10090	Apoa1	APOA1	335	APOA1	HGNC:600	HGNC:600
11807	336	10090	Apoa2	APOA2	336	APOA2	HGNC:601	HGNC:601
11808	337	10090	Apoa4	APOA4	337	APOA4	HGNC:602	HGNC:602
11810	339	10090	Apobec1	APOBEC1	339	APOBEC1	HGNC:604	HGNC:604
11811	10930	10090	Apobec2	APOBEC2	10930	APOBEC2	HGNC:605	HGNC:605
11812	341	10090	Apoc1	APOC1	341	APOC1	HGNC:607	HGNC:607
11813	344	10090	Apoc2	APOC2	344	APOC2	HGNC:609	HGNC:609
11814	345	10090	Apoc3	APOC3	345	APOC3	HGNC:610	HGNC:610
11815	347	10090	Apod	APOD	347	APOD	HGNC:612	HGNC:612
11816	348	10090	Apoe	APOE	348	APOE	HGNC:613	HGNC:613
11818	350	10090	Apoh	APOH	350	APOH	HGNC:616	HGNC:616
11819	7026	10090	Nr2f2	NR2F2	7026	NR2F2	HGNC:7976	HGNC:7976
11820	351	10090	App	APP	351	APP	HGNC:620	HGNC:620
11821	353	10090	Aprt	APRT	353	APRT	HGNC:626	HGNC:626
11826	358	10090	Aqp1	AQP1	358	AQP1	HGNC:633	HGNC:633
11827	359	10090	Aqp2	AQP2	359	AQP2	HGNC:634	HGNC:634
11828	360	10090	Aqp3	AQP3	360	AQP3	HGNC:636	HGNC:636
11829	361	10090	Aqp4	AQP4	361	AQP4	HGNC:637	HGNC:637
11830	362	10090	Aqp5	AQP5	362	AQP5	HGNC:638	HGNC:638
11832	100509620;364	10090	Aqp7	AQP7B;AQP7	364	AQP7	HGNC:53895;HGNC:640	HGNC:640
11833	343	10090	Aqp8	AQP8	343	AQP8	HGNC:642	HGNC:642
11835	367	10090	Ar	AR	367	AR	HGNC:644	HGNC:644
11836	369	10090	Araf	ARAF	369	ARAF	HGNC:646	HGNC:646
11837	None	10090	Rplp0	None	None	None	None	None
11838	23237	10090	Arc	ARC	23237	ARC	HGNC:648	HGNC:648
11839	374	10090	Areg	AREG	374	AREG	HGNC:651	HGNC:651
11840	375	10090	Arf1	ARF1	375	ARF1	HGNC:652	HGNC:652
11843	378	10090	Arf4	ARF4	378	ARF4	HGNC:655	HGNC:655
118445	83855	10090	Klf16	KLF16	83855	KLF16	HGNC:16857	HGNC:16857
11845	382	10090	Arf6	ARF6	382	ARF6	HGNC:659	HGNC:659
118453	79148	10090	Mmp28	MMP28	79148	MMP28	HGNC:14366	HGNC:14366
118454	57165	10090	Gjc2	GJC2	57165	GJC2	HGNC:17494	HGNC:17494
11846	383	10090	Arg1	ARG1	383	ARG1	HGNC:663	HGNC:663
11847	384	10090	Arg2	ARG2	384	ARG2	HGNC:664	HGNC:664
11848	387	10090	Rhoa	RHOA	387	RHOA	HGNC:667	HGNC:667
11852	388	10090	Rhob	RHOB	388	RHOB	HGNC:668	HGNC:668
11853	389	10090	Rhoc	RHOC	389	RHOC	HGNC:669	HGNC:669
11855	394	10090	Arhgap5	ARHGAP5	394	ARHGAP5	HGNC:675	HGNC:675
11857	397	10090	Arhgdib	ARHGDIB	397	ARHGDIB	HGNC:679	HGNC:679
11858	8153	10090	Rnd2	RND2	8153	RND2	HGNC:18315	HGNC:18315
11859	401	10090	Phox2a	PHOX2A	401	PHOX2A	HGNC:691	HGNC:691
11863	405	10090	Arnt	ARNT	405	ARNT	HGNC:700	HGNC:700
11864	9915	10090	Arnt2	ARNT2	9915	ARNT2	HGNC:16876	HGNC:16876
11865	406	10090	Bmal1	BMAL1	406	BMAL1	HGNC:701	HGNC:701
11867	10095	10090	Arpc1b	ARPC1B	10095	ARPC1B	HGNC:704	HGNC:704
11871	None	10090	Art2a	None	None	None	None	None
11876	9048	10090	Artn	ARTN	9048	ARTN	HGNC:727	HGNC:727
11878	170302	10090	Arx	ARX	170302	ARX	HGNC:18060	HGNC:18060
11881	411	10090	Arsb	ARSB	411	ARSB	HGNC:714	HGNC:714
11883	410	10090	Arsa	ARSA	410	ARSA	HGNC:713	HGNC:713
11886	427	10090	Asah1	ASAH1	427	ASAH1	HGNC:735	HGNC:735
11889	432	10090	Asgr1	ASGR1	432	ASGR1	HGNC:742	HGNC:742
11891	5873	10090	Rab27a	RAB27A	5873	RAB27A	HGNC:9766	HGNC:9766
11898	445	10090	Ass1	ASS1	445	ASS1	HGNC:758	HGNC:758
11899	460	10090	Astn1	ASTN1	460	ASTN1	HGNC:773	HGNC:773
11905	462	10090	Serpinc1	SERPINC1	462	SERPINC1	HGNC:775	HGNC:775
11906	463	10090	Zfhx3	ZFHX3	463	ZFHX3	HGNC:777	HGNC:777
11907	11101	10090	Ate1	ATE1	11101	ATE1	HGNC:782	HGNC:782
11908	466	10090	Atf1	ATF1	466	ATF1	HGNC:783	HGNC:783
11909	1386	10090	Atf2	ATF2	1386	ATF2	HGNC:784	HGNC:784
11910	467	10090	Atf3	ATF3	467	ATF3	HGNC:785	HGNC:785
11911	468	10090	Atf4	ATF4	468	ATF4	HGNC:786	HGNC:786
11920	472	10090	Atm	ATM	472	ATM	HGNC:795	HGNC:795
11921	474	10090	Atoh1	ATOH1	474	ATOH1	HGNC:797	HGNC:797
11922	63974	10090	Neurod6	NEUROD6	63974	NEUROD6	HGNC:13804	HGNC:13804
11923	58158	10090	Neurod4	NEUROD4	58158	NEUROD4	HGNC:13802	HGNC:13802
11924	63973	10090	Neurog2	NEUROG2	63973	NEUROG2	HGNC:13805	HGNC:13805
11925	50674	10090	Neurog3	NEUROG3	50674	NEUROG3	HGNC:13806	HGNC:13806
11927	475	10090	Atox1	ATOX1	475	ATOX1	HGNC:798	HGNC:798
11928	476	10090	Atp1a1	ATP1A1	476	ATP1A1	HGNC:799	HGNC:799
11931	481	10090	Atp1b1	ATP1B1	481	ATP1B1	HGNC:804	HGNC:804
11936	486	10090	Fxyd2	FXYD2	486	FXYD2	HGNC:4026	HGNC:4026
11937	487	10090	Atp2a1	ATP2A1	487	ATP2A1	HGNC:811	HGNC:811
11938	488	10090	Atp2a2	ATP2A2	488	ATP2A2	HGNC:812	HGNC:812
11941	491	10090	Atp2b2	ATP2B2	491	ATP2B2	HGNC:815	HGNC:815
11945	496	10090	Atp4b	ATP4B	496	ATP4B	HGNC:820	HGNC:820
11946	498	10090	Atp5f1a	ATP5F1A	498	ATP5F1A	HGNC:823	HGNC:823
11947	506	10090	Atp5f1b	ATP5F1B	506	ATP5F1B	HGNC:830	HGNC:830
11951	None	10090	Atp5mc1	None	None	None	None	None
11977	538	10090	Atp7a	ATP7A	538	ATP7A	HGNC:869	HGNC:869
11979	540	10090	Atp7b	ATP7B	540	ATP7B	HGNC:870	HGNC:870
11980	10396	10090	Atp8a1	ATP8A1	10396	ATP8A1	HGNC:13531	HGNC:13531
11981	10079	10090	Atp9a	ATP9A	10079	ATP9A	HGNC:13540	HGNC:13540
11982	57194	10090	Atp10a	ATP10A	57194	ATP10A	HGNC:13542	HGNC:13542
11987	6541	10090	Slc7a1	SLC7A1	6541	SLC7A1	HGNC:11057	HGNC:11057
11988	6542	10090	Slc7a2	SLC7A2	6542	SLC7A2	HGNC:11060	HGNC:11060
11991	3184	10090	Hnrnpd	HNRNPD	3184	HNRNPD	HGNC:5036	HGNC:5036
11997	57016	10090	Akr1b7	AKR1B10	57016	AKR1B10	HGNC:382	HGNC:382
11998	551	10090	Avp	AVP	551	AVP	HGNC:894	HGNC:894
12000	554	10090	Avpr2	AVPR2	554	AVPR2	HGNC:897	HGNC:897
12005	8312	10090	Axin1	AXIN1	8312	AXIN1	HGNC:903	HGNC:903
12006	8313	10090	Axin2	AXIN2	8313	AXIN2	HGNC:904	HGNC:904
12007	563	10090	Azgp1	AZGP1	563	AZGP1	HGNC:910	HGNC:910
12010	567	10090	B2m	B2M	567	B2M	HGNC:914	HGNC:914
12012	570	10090	Baat	BAAT	570	BAAT	HGNC:932	HGNC:932
12013	100379661;571	10090	Bach1	GRIK1-AS2;BACH1	571	BACH1	HGNC:935;HGNC:935	HGNC:935
12014	60468	10090	Bach2	BACH2	60468	BACH2	HGNC:14078	HGNC:14078
12015	572	10090	Bad	BAD	572	BAD	HGNC:936	HGNC:936
12017	573	10090	Bag1	BAG1	573	BAG1	HGNC:937	HGNC:937
12018	578	10090	Bak1	BAK1	578	BAK1	HGNC:949	HGNC:949
12020	579	10090	Nkx3-2	NKX3-2	579	NKX3-2	HGNC:951	HGNC:951
12021	580	10090	Bard1	BARD1	580	BARD1	HGNC:952	HGNC:952
12022	56033	10090	Barx1	BARX1	56033	BARX1	HGNC:955	HGNC:955
12023	8538	10090	Barx2	BARX2	8538	BARX2	HGNC:956	HGNC:956
12028	581	10090	Bax	BAX	581	BAX	HGNC:959	HGNC:959
12029	255877	10090	Bcl6b	BCL6B	255877	BCL6B	HGNC:1002	HGNC:1002
12032	63827	10090	Bcan	BCAN	63827	BCAN	HGNC:23059	HGNC:23059
12034	11331	10090	Phb2	PHB2	11331	PHB2	HGNC:30306	HGNC:30306
12035	586	10090	Bcat1	BCAT1	586	BCAT1	HGNC:976	HGNC:976
12036	587	10090	Bcat2	BCAT2	587	BCAT2	HGNC:977	HGNC:977
12041	10295	10090	Bckdk	BCKDK	10295	BCKDK	HGNC:16902	HGNC:16902
12042	8915	10090	Bcl10	BCL10	8915	BCL10	HGNC:989	HGNC:989
12043	596	10090	Bcl2	BCL2	596	BCL2	HGNC:990	HGNC:990
12044	597	10090	Bcl2a1a	BCL2A1	597	BCL2A1	HGNC:991	HGNC:991
12046	597	10090	Bcl2a1c	BCL2A1	597	BCL2A1	HGNC:991	HGNC:991
12048	598	10090	Bcl2l1	BCL2L1	598	BCL2L1	HGNC:992	HGNC:992
12049	None	10090	Bcl2l10	None	None	None	None	None
12050	599	10090	Bcl2l2	BCL2L2	599	BCL2L2	HGNC:995	HGNC:995
12051	602	10090	Bcl3	BCL3	602	BCL3	HGNC:998	HGNC:998
12053	604	10090	Bcl6	BCL6	604	BCL6	HGNC:1001	HGNC:1001
12055	9274	10090	Bcl7c	BCL7C	9274	BCL7C	HGNC:1006	HGNC:1006
12057	611	10090	Opn1sw	OPN1SW	611	OPN1SW	HGNC:1012	HGNC:1012
12062	624	10090	Bdkrb2	BDKRB2	624	BDKRB2	HGNC:1030	HGNC:1030
12064	627	10090	Bdnf	BDNF	627	BDNF	HGNC:1033	HGNC:1033
12069	55859;84707	10090	Bex2	BEX1;BEX2	84707	BEX2	HGNC:1036;HGNC:30933	HGNC:30933
12075	631	10090	Bfsp1	BFSP1	631	BFSP1	HGNC:1040	HGNC:1040
12091	2720	10090	Glb1	GLB1	2720	GLB1	HGNC:4298	HGNC:4298
12096	632	10090	Bglap	BGLAP	632	BGLAP	HGNC:1043	HGNC:1043
12097	632	10090	Bglap2	BGLAP	632	BGLAP	HGNC:1043	HGNC:1043
121021	1464	10090	Cspg4	CSPG4	1464	CSPG4	HGNC:2466	HGNC:2466
12111	633	10090	Bgn	BGN	633	BGN	HGNC:1044	HGNC:1044
12116	635	10090	Bhmt	BHMT	635	BHMT	HGNC:1047	HGNC:1047
12122	637	10090	Bid	BID	637	BID	HGNC:1050	HGNC:1050
12123	8739	10090	Hrk	HRK	8739	HRK	HGNC:5185	HGNC:5185
12124	638	10090	Bik	BIK	638	BIK	HGNC:1051	HGNC:1051
12125	10018	10090	Bcl2l11	BCL2L11	10018	BCL2L11	HGNC:994	HGNC:994
12140	2173	10090	Fabp7	FABP7	2173	FABP7	HGNC:3562	HGNC:3562
12142	639	10090	Prdm1	PRDM1	639	PRDM1	HGNC:9346	HGNC:9346
12143	640	10090	Blk	BLK	640	BLK	HGNC:1057	HGNC:1057
12144	641	10090	Blm	BLM	641	BLM	HGNC:1058	HGNC:1058
12145	643	10090	Cxcr5	CXCR5	643	CXCR5	HGNC:1060	HGNC:1060
12151	648	10090	Bmi1	BMI1	648	BMI1	HGNC:1066	HGNC:1066
12153	649	10090	Bmp1	BMP1	649	BMP1	HGNC:1067	HGNC:1067
12154	27302	10090	Bmp10	BMP10	27302	BMP10	HGNC:20869	HGNC:20869
12155	9210	10090	Bmp15	BMP15	9210	BMP15	HGNC:1068	HGNC:1068
12156	650	10090	Bmp2	BMP2	650	BMP2	HGNC:1069	HGNC:1069
12159	652	10090	Bmp4	BMP4	652	BMP4	HGNC:1071	HGNC:1071
12160	653	10090	Bmp5	BMP5	653	BMP5	HGNC:1072	HGNC:1072
12161	654	10090	Bmp6	BMP6	654	BMP6	HGNC:1073	HGNC:1073
12162	655	10090	Bmp7	BMP7	655	BMP7	HGNC:1074	HGNC:1074
12164	None	10090	Bmp8b	None	None	None	None	None
12165	2658	10090	Gdf2	GDF2	2658	GDF2	HGNC:4217	HGNC:4217
12166	657	10090	Bmpr1a	BMPR1A	657	BMPR1A	HGNC:1076	HGNC:1076
12167	658	10090	Bmpr1b	BMPR1B	658	BMPR1B	HGNC:1077	HGNC:1077
12168	659	10090	Bmpr2	BMPR2	659	BMPR2	HGNC:1078	HGNC:1078
12169	660	10090	Bmx	BMX	660	BMX	HGNC:1079	HGNC:1079
12173	646	10090	Bnc1	BNC1	646	BNC1	HGNC:1081	HGNC:1081
12176	664	10090	Bnip3	BNIP3	664	BNIP3	HGNC:1084	HGNC:1084
12177	665	10090	Bnip3l	BNIP3L	665	BNIP3L	HGNC:1085	HGNC:1085
12180	150572	10090	Smyd1	SMYD1	150572	SMYD1	HGNC:20986	HGNC:20986
12181	23246	10090	Bop1	BOP1	23246	BOP1	HGNC:15519	HGNC:15519
12182	683	10090	Bst1	BST1	683	BST1	HGNC:1118	HGNC:1118
12189	672	10090	Brca1	BRCA1	672	BRCA1	HGNC:1100	HGNC:1100
12192	677	10090	Zfp36l1	ZFP36L1	677	ZFP36L1	HGNC:1107	HGNC:1107
12193	678	10090	Zfp36l2	ZFP36L2	678	ZFP36L2	HGNC:1108	HGNC:1108
12209	680	10090	Brs3	BRS3	680	BRS3	HGNC:1113	HGNC:1113
12211	57448	10090	Birc6	BIRC6	57448	BIRC6	HGNC:13516	HGNC:13516
12212	53344	10090	Chic1	CHIC1	53344	CHIC1	HGNC:1934	HGNC:1934
12215	682	10090	Bsg	BSG	682	BSG	HGNC:1116	HGNC:1116
12217	8927	10090	Bsn	BSN	8927	BSN	HGNC:1117	HGNC:1117
12223	685	10090	Btc	BTC	685	BTC	HGNC:1121	HGNC:1121
12224	688	10090	Klf5	KLF5	688	KLF5	HGNC:6349	HGNC:6349
12226	694	10090	Btg1	BTG1	694	BTG1	HGNC:1130	HGNC:1130
12227	7832	10090	Btg2	BTG2	7832	BTG2	HGNC:1131	HGNC:1131
12228	10950	10090	Btg3	BTG3	10950	BTG3	HGNC:1132	HGNC:1132
12229	695	10090	Btk	BTK	695	BTK	HGNC:1133	HGNC:1133
12231	696	10090	Btn1a1	BTN1A1	696	BTN1A1	HGNC:1135	HGNC:1135
12234	8945	10090	Btrc	BTRC	8945	BTRC	HGNC:1144	HGNC:1144
12235	699	10090	Bub1	BUB1	699	BUB1	HGNC:1148	HGNC:1148
12236	701	10090	Bub1b	BUB1B	701	BUB1B	HGNC:1149	HGNC:1149
12238	23412	10090	Commd3	COMMD3	23412	COMMD3	HGNC:23332	HGNC:23332
12257	706	10090	Tspo	TSPO	706	TSPO	HGNC:1158	HGNC:1158
12258	710	10090	Serping1	SERPING1	710	SERPING1	HGNC:1228	HGNC:1228
12259	712	10090	C1qa	C1QA	712	C1QA	HGNC:1241	HGNC:1241
12260	713	10090	C1qb	C1QB	713	C1QB	HGNC:1242	HGNC:1242
12261	708	10090	C1qbp	C1QBP	708	C1QBP	HGNC:1243	HGNC:1243
12265	4261	10090	Ciita	CIITA	4261	CIITA	HGNC:7067	HGNC:7067
12266	718	10090	C3	C3	718	C3	HGNC:1318	HGNC:1318
12267	719	10090	C3ar1	C3AR1	719	C3AR1	HGNC:1319	HGNC:1319
12268	720;110384692;721	10090	C4b	C4A;C4A_2;C4B	721	C4B	HGNC:1323;HGNC:1323;HGNC:1324	HGNC:1324
12269	722	10090	C4bp	C4BPA	722	C4BPA	HGNC:1325	HGNC:1325
12273	728	10090	C5ar1	C5AR1	728	C5AR1	HGNC:1338	HGNC:1338
12282	10525	10090	Hyou1	HYOU1	10525	HYOU1	HGNC:16931	HGNC:16931
12283	51719	10090	Cab39	CAB39	51719	CAB39	HGNC:20292	HGNC:20292
12286	773	10090	Cacna1a	CACNA1A	773	CACNA1A	HGNC:1388	HGNC:1388
12288	775;100874369	10090	Cacna1c	CACNA1C;CACNA1C-IT2	775	CACNA1C	HGNC:1390;HGNC:1390	HGNC:1390
12289	776	10090	Cacna1d	CACNA1D	776	CACNA1D	HGNC:1391	HGNC:1391
12290	777	10090	Cacna1e	CACNA1E	777	CACNA1E	HGNC:1392	HGNC:1392
12291	8913	10090	Cacna1g	CACNA1G	8913	CACNA1G	HGNC:1394	HGNC:1394
12292	779	10090	Cacna1s	CACNA1S	779	CACNA1S	HGNC:1397	HGNC:1397
12293	781	10090	Cacna2d1	CACNA2D1	781	CACNA2D1	HGNC:1399	HGNC:1399
12295	782	10090	Cacnb1	CACNB1	782	CACNB1	HGNC:1401	HGNC:1401
12296	783	10090	Cacnb2	CACNB2	783	CACNB2	HGNC:1402	HGNC:1402
12297	784	10090	Cacnb3	CACNB3	784	CACNB3	HGNC:1403	HGNC:1403
12301	27101	10090	Cacybp	CACYBP	27101	CACYBP	HGNC:30423	HGNC:30423
12304	9601	10090	Pdia4	PDIA4	9601	PDIA4	HGNC:30167	HGNC:30167
12305	780	10090	Ddr1	DDR1	780	DDR1	HGNC:2730	HGNC:2730
12306	302	10090	Anxa2	ANXA2	302	ANXA2	HGNC:537	HGNC:537
12307	793	10090	Calb1	CALB1	793	CALB1	HGNC:1434	HGNC:1434
12308	794	10090	Calb2	CALB2	794	CALB2	HGNC:1435	HGNC:1435
12309	795	10090	S100g	S100G	795	S100G	HGNC:1436	HGNC:1436
12310	796	10090	Calca	CALCA	796	CALCA	HGNC:1437	HGNC:1437
12311	799	10090	Calcr	CALCR	799	CALCR	HGNC:1440	HGNC:1440
12313	801	10090	Calm1	CALM1	801	CALM1	HGNC:1442	HGNC:1442
12314	805	10090	Calm2	CALM2	805	CALM2	HGNC:1445	HGNC:1445
12315	808	10090	Calm3	CALM3	808	CALM3	HGNC:1449	HGNC:1449
12316	259266	10090	Aspm	ASPM	259266	ASPM	HGNC:19048	HGNC:19048
12317	811	10090	Calr	CALR	811	CALR	HGNC:1455	HGNC:1455
12321	813	10090	Calu	CALU	813	CALU	HGNC:1458	HGNC:1458
12322	815	10090	Camk2a	CAMK2A	815	CAMK2A	HGNC:1460	HGNC:1460
12323	816	10090	Camk2b	CAMK2B	816	CAMK2B	HGNC:1461	HGNC:1461
12325	818	10090	Camk2g	CAMK2G	818	CAMK2G	HGNC:1463	HGNC:1463
12326	814	10090	Camk4	CAMK4	814	CAMK4	HGNC:1464	HGNC:1464
12328	819	10090	Caml	CAMLG	819	CAMLG	HGNC:1471	HGNC:1471
12332	822	10090	Capg	CAPG	822	CAPG	HGNC:1474	HGNC:1474
12333	823	10090	Capn1	CAPN1	823	CAPN1	HGNC:1476	HGNC:1476
12334	824	10090	Capn2	CAPN2	824	CAPN2	HGNC:1479	HGNC:1479
12336	826	10090	Capns1	CAPNS1	826	CAPNS1	HGNC:1481	HGNC:1481
12338	827	10090	Capn6	CAPN6	827	CAPN6	HGNC:1483	HGNC:1483
12340	829	10090	Capza1	CAPZA1	829	CAPZA1	HGNC:1488	HGNC:1488
12346	759	10090	Car1	CA1	759	CA1	HGNC:1368	HGNC:1368
12348	770	10090	Car11	CA11	770	CA11	HGNC:1370	HGNC:1370
12349	760	10090	Car2	CA2	760	CA2	HGNC:1373	HGNC:1373
12350	761	10090	Car3	CA3	761	CA3	HGNC:1374	HGNC:1374
12351	762	10090	Car4	CA4	762	CA4	HGNC:1375	HGNC:1375
12353	765	10090	Car6	CA6	765	CA6	HGNC:1380	HGNC:1380
12354	766	10090	Car7	CA7	766	CA7	HGNC:1381	HGNC:1381
12355	9970	10090	Nr1i3	NR1I3	9970	NR1I3	HGNC:7969	HGNC:7969
12359	847	10090	Cat	CAT	847	CAT	HGNC:1516	HGNC:1516
12361	8573	10090	Cask	CASK	8573	CASK	HGNC:1497	HGNC:1497
12362	834;114769	10090	Casp1	CASP1;CARD16	834	CASP1	HGNC:1499;HGNC:33701	HGNC:1499
12363	None	10090	Casp4	None	None	None	None	None
12364	100506742	10090	Casp12	CASP12	100506742	CASP12	HGNC:19004	HGNC:19004
12365	23581	10090	Casp14	CASP14	23581	CASP14	HGNC:1502	HGNC:1502
12366	835	10090	Casp2	CASP2	835	CASP2	HGNC:1503	HGNC:1503
12367	836	10090	Casp3	CASP3	836	CASP3	HGNC:1504	HGNC:1504
12368	839	10090	Casp6	CASP6	839	CASP6	HGNC:1507	HGNC:1507
12369	840	10090	Casp7	CASP7	840	CASP7	HGNC:1508	HGNC:1508
12370	841	10090	Casp8	CASP8	841	CASP8	HGNC:1509	HGNC:1509
12371	842	10090	Casp9	CASP9	842	CASP9	HGNC:1511	HGNC:1511
12372	844	10090	Casq1	CASQ1	844	CASQ1	HGNC:1512	HGNC:1512
12373	845	10090	Casq2	CASQ2	845	CASQ2	HGNC:1513	HGNC:1513
12374	846	10090	Casr	CASR	846	CASR	HGNC:1514	HGNC:1514
12380	831	10090	Cast	CAST	831	CAST	None	None
12385	1495	10090	Ctnna1	CTNNA1	1495	CTNNA1	HGNC:2509	HGNC:2509
12386	1496	10090	Ctnna2	CTNNA2	1496	CTNNA2	HGNC:2510	HGNC:2510
12387	1499	10090	Ctnnb1	CTNNB1	1499	CTNNB1	HGNC:2514	HGNC:2514
12388	1500	10090	Ctnnd1	CTNND1	1500	CTNND1	HGNC:2515	HGNC:2515
12389	857	10090	Cav1	CAV1	857	CAV1	HGNC:1527	HGNC:1527
12390	858	10090	Cav2	CAV2	858	CAV2	HGNC:1528	HGNC:1528
12391	859	10090	Cav3	CAV3	859	CAV3	HGNC:1529	HGNC:1529
12393	860	10090	Runx2	RUNX2	860	RUNX2	HGNC:10472	HGNC:10472
12394	100506403;861	10090	Runx1	LOC100506403;RUNX1	861	RUNX1	HGNC:10471;HGNC:10471	HGNC:10471
12395	862	10090	Runx1t1	RUNX1T1	862	RUNX1T1	HGNC:1535	HGNC:1535
12396	9139	10090	Cbfa2t2	CBFA2T2	9139	CBFA2T2	HGNC:1536	HGNC:1536
12398	863	10090	Cbfa2t3	CBFA2T3	863	CBFA2T3	HGNC:1537	HGNC:1537
12399	864	10090	Runx3	RUNX3	864	RUNX3	HGNC:10473	HGNC:10473
12400	865	10090	Cbfb	CBFB	865	CBFB	HGNC:1539	HGNC:1539
12401	866	10090	Serpina6	SERPINA6	866	SERPINA6	HGNC:1540	HGNC:1540
12402	867	10090	Cbl	CBL	867	CBL	HGNC:1541	HGNC:1541
12404	869	10090	Cbln1	CBLN1	869	CBLN1	HGNC:1543	HGNC:1543
12406	871	10090	Serpinh1	SERPINH1	871	SERPINH1	HGNC:1546	HGNC:1546
12408	873	10090	Cbr1	CBR1	873	CBR1	HGNC:1548	HGNC:1548
12409	None	10090	Cbr2	None	None	None	None	None
12411	875;102724560	10090	Cbs	CBS;LOC102724560	875	CBS	HGNC:1550;HGNC:1550	HGNC:1550
12412	10951	10090	Cbx1	CBX1	10951	CBX1	HGNC:1551	HGNC:1551
12416	84733	10090	Cbx2	CBX2	84733	CBX2	HGNC:1552	HGNC:1552
12417	11335	10090	Cbx3	CBX3	11335	CBX3	HGNC:1553	HGNC:1553
12418	8535	10090	Cbx4	CBX4	8535	CBX4	HGNC:1554	HGNC:1554
12419	23468	10090	Cbx5	CBX5	23468	CBX5	HGNC:1555	HGNC:1555
12421	9821	10090	Rb1cc1	RB1CC1	9821	RB1CC1	HGNC:15574	HGNC:15574
12424	885	10090	Cck	CCK	885	CCK	HGNC:1569	HGNC:1569
12425	886	10090	Cckar	CCKAR	886	CCKAR	HGNC:1570	HGNC:1570
12426	887	10090	Cckbr	CCKBR	887	CCKBR	HGNC:1571	HGNC:1571
12427	8900	10090	Ccna1	CCNA1	8900	CCNA1	HGNC:1577	HGNC:1577
12428	890	10090	Ccna2	CCNA2	890	CCNA2	HGNC:1578	HGNC:1578
12442	9133	10090	Ccnb2	CCNB2	9133	CCNB2	HGNC:1580	HGNC:1580
12443	595	10090	Ccnd1	CCND1	595	CCND1	HGNC:1582	HGNC:1582
12444	894	10090	Ccnd2	CCND2	894	CCND2	HGNC:1583	HGNC:1583
12445	896	10090	Ccnd3	CCND3	896	CCND3	HGNC:1585	HGNC:1585
124451	64211	10116	Lhx5	LHX5	64211	LHX5	HGNC:14216	HGNC:14216
12447	898	10090	Ccne1	CCNE1	898	CCNE1	HGNC:1589	HGNC:1589
12448	9134	10090	Ccne2	CCNE2	9134	CCNE2	HGNC:1590	HGNC:1590
12449	899	10090	Ccnf	CCNF	899	CCNF	HGNC:1591	HGNC:1591
12450	900	10090	Ccng1	CCNG1	900	CCNG1	HGNC:1592	HGNC:1592
12452	901	10090	Ccng2	CCNG2	901	CCNG2	HGNC:1593	HGNC:1593
12454	8812	10090	Ccnk	CCNK	8812	CCNK	HGNC:1596	HGNC:1596
12455	904	10090	Ccnt1	CCNT1	904	CCNT1	HGNC:1599	HGNC:1599
12457	25819	10090	Noct	NOCT	25819	NOCT	HGNC:14254	HGNC:14254
12458	1235	10090	Ccr6	CCR6	1235	CCR6	HGNC:1607	HGNC:1607
12460	9973	10090	Ccs	CCS	9973	CCS	HGNC:1613	HGNC:1613
