#SentenceID	Sentence	TRI	MoR	Valid?	true_TRI	true_MoR	TRI score	MoR scores	TF	TF Id	TF Symbol	TF TaxID	TF_is_incorrect	TF_correct_mention	TF offset	TG	TG Id	TG Symbol	TG TaxID	TG_is_incorrect	TG_correct_mention	Gene offset	method	stage	renormalisation	pre-post	TF_type	Other issues	Explanation
35615737:12:BHLHE41:N-cadherin	Besides, [TF] overexpression could enhance the levels of E-cadherin but reduce the levels of HIF-1alpha, [TG], vimentin, and MMP9 in hypoxia-induced CC cells.	TRI	REPRESSION	T	TRI	REPRESSION		0.002919625085374894;0.003542889011245995;0.9935374859033791	BHLHE41	79362	Bhlhe41	10090			1376	N-cadherin	12558	Cdh2	10090			1475	random	s3		pre	dbTF	mutation	
25214003:3:Ikaros:terminal deoxynucleotide transferase	In thymocytes and T-cell leukemia, [TF] negatively regulates transcription of [TG] (TdT), a key protein in lymphocyte differentiation.	TRI	REPRESSION	T	TRI	REPRESSION		0.001128395583078859;0.004896376682772473;0.9939752277341486	Ikaros	10320	IKZF1	9606			283	terminal deoxynucleotide transferase	1791	DNTT	9606			328	random	s3		pre	dbTF		
20032720:10:STAT6:arginase 1	Significant blunting in both the accumulation of TIMSC in the spleen and induction of [TG] was observed in [TF]-/- mice after physical injury.	TRI	REPRESSION	T	TRI	REPRESSION		0.013797931824098246;0.10001609853644855;0.8861859696394531	STAT6	20852	Stat6	10090			1141	arginase 1	11846	Arg1	10090			1114	random	s3		pre	dbTF	mutation	
23564066:0:LXRalpha:ABCG1	Neopterin negatively regulates expression of ABCA1 and [TG] by the [TF] signaling pathway in THP-1 macrophage-derived foam cells.	TRI	REPRESSION	T	TRI	REPRESSION		0.0425048603603323;0.05082196550981351;0.9066731741298543	LXRalpha	10062	NR1H3	9606			68	ABCG1	9619	ABCG1	9606			55	random	s3		pre	dbTF		
18006642:8:SMRT:VEGFR2	This study illustrates that both [TF] and NCoR are involved in E2-dependent repression of [TG] in MCF-7 cells.	TRI	REPRESSION	T	TRI	REPRESSION		0.0011543544075250855;0.0037315105603179977;0.995114135032157	SMRT	9612	NCOR2	9606			1686	VEGFR2	3791	KDR	9606			1743	random	s3		pre	dbTF		
30194712:9:AML1:P21	PPI also upregulated [TG] and downregulated survivin expression by reducing [TF]-ETO.	TRI	REPRESSION	T	TRI	REPRESSION		0.010033112129187265;0.041906165337235075;0.9480607225335776	AML1	861	RUNX1	9606			1043	P21	644914	H3P16	9606	normalisation	CDKN1A	989	random	s3		pre	dbTF		
14559791:4:Menin:JunD	In this study, we found that [TF] is a corepressor against [TG] transcriptional activity via recruitment of histone deacetylases in an mSin3A-dependent manner.	TRI	REPRESSION	F	Not TRI			0.003137634121542352;0.004565124043593115;0.9922972418348646	Menin	4221	MEN1	9606			406	JunD	3727	JUND	9606			437	random	s3		pre	coTF candidate	PPI	
34933092:10:RelB:MMP9	Mechanistically, the expression of ICAM1, Integrin beta1, [TG] and uPA were upregulated in [TF]-knockdown cells upon hICAM1-exo treatment.	TRI	REPRESSION	T	TRI	REPRESSION		0.0017220680034245835;0.0034982039501103785;0.9947797280464651	RelB	5971	RELB	9606			1100	MMP9	4318	MMP9	9606			1067	random	s3		pre	dbTF	mutation	
21169726:7:SF-1:CYP11B2	Inhibitory SF-1 was found to decrease the sensitivity of CYP11B2 and aldosterone to Ang II stimulation, whereas a down-regulation of [TF] enhanced basal [TG] expression and aldosterone production in H295R cells.	TRI	REPRESSION	T	TRI	REPRESSION		0.0017251639021249603;0.0032546642365482515;0.9950201718613269	SF-1	2516	NR5A1	9606			1051	CYP11B2	1585	CYP11B2	9606			1071	random	s3		pre	dbTF		
36187399:2:Twist:E-cadherin	BACKGROUND: [TF] is a repressor of [TG] transcription that induces epithelial-mesenchymal transition and cancer metastasis.	TRI	REPRESSION	T	TRI	REPRESSION		0.0012404417012365392;0.0034960035936809917;0.9952635547050825	Twist	7291	TWIST1	9606			112	E-cadherin	999	CDH1	9606			136	random	s3		pre	dbTF		
30511964:5:FOXA1:transforming growth factor beta 3	Here, we demonstrate that [TF] loss leads to remarkable upregulation of [TG] (TGFB3), which encodes a ligand of the TGF-beta pathway.	TRI	REPRESSION	T	TRI	REPRESSION		0.0016161259597382563;0.003071811765494609;0.9953120622747672	FOXA1	3169	FOXA1	9606			499	transforming growth factor beta 3	7043	TGFB3	9606			546	random	s3		pre	dbTF	mutation	
37741305:11:LEF-1:PD-1	Cell experiments showed that overexpression of TCF7 and [TF] enhanced proliferation and effector activation of CD4+ T cells, reduced apoptosis, decreased [TG] and LAG3 expression, and promoted immune response in sepsis.	TRI	REPRESSION	T	TRI	REPRESSION		0.0023475388151374746;0.0026500639288012506;0.9950023972560613	LEF-1	16842	Lef1	10090			1181	PD-1	18566	Pdcd1	10090			1280	random	s3		pre	dbTF	mutation	
21109931:10:TP53:MIZ-1	In the [TF]-mutated SKNAS cell line, Hsp90 inhibition enhanced the expression of the favorable neuroblastoma genes EFNB2, [TG] and NTRK1 (TrkA).	TRI	REPRESSION	F	TRI	UNDEFINED		0.012139982116976712;0.012098185329754601;0.9757618325532686	TP53	7157	TP53	9606			1247	MIZ-1	9063	PIAS2	9606			1362	random	s3		pre	dbTF		
25254494:6:SPDEF:Cyclin A2	Transgenic over-expression of [TF] inhibited mRNA and protein levels of Foxm1, a transcription factor critical for tumor cell proliferation, and reduced expression of Foxm1 target genes, including Cdc25b, Cyclin B1, [TG], Plk-1, AuroraB, CKS1 and Topo2alpha.	TRI	REPRESSION	T	TRI	REPRESSION		0.005560426604212592;0.006905445465973423;0.987534127929814	SPDEF	30051	Spdef	10090			822	Cyclin A2	12428	Ccna2	10090			1009	random	s3		pre	dbTF	mutation	
28931864:5:p53:p21	Here we report that RP-mutated lymphoblastoid cell lines (LCLs) established from DBA patients show defective rRNA processing and ribosomal stress features such as reduced proliferation, decreased protein synthesis, and activation of [TF] and its target [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.7210866972307123;0.056746391584282734;0.22216691118500498	p53	7157	TP53	9606			834	p21	644914	H3P16	9606	normalisation	CDKN1A	853	random	s3		pre	dbTF		
18294709:9:AHRR:ULK3	For example, the module NFKB-[TF]-CREB found from salmon ChIP sequences is present in human [TG] (regulating formation of granule cell axons in mouse and axon outgrowth in Caernohabditis elegans) and SRGAP1 (GTPase-activating protein involved in the Slit/Robo pathway) promoters.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9922294787322551;0.0068169358443514304;0.0009535854233934957	AHRR	57491	AHRR	9606			1303	ULK3	25989	ULK3	9606			1366	random	s3		pre	dbTF		
20697158:5:IRF4:IL-17	We furthermore demonstrated that ROCK2-mediated phosphorylation of [TF] regulated the synthesis of [TG] and IL-21 and the differentiation of Th17 cells.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9886520933624252;0.009238091927131872;0.002109814710442871	IRF4	16364	Irf4	10090			809	IL-17	16171	Il17a	10090			841	random	s3		pre	dbTF		
35176707:7:REV-ERBalpha:catalase	[TF] directly regulates transcription of nuclear factor erythroid 2-related factor 2 (NRF2) and its downstream antioxidant enzymes superoxide dismutase 1 (SOD1) and [TG] to counter oxidative damage.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.997149995250421;0.0019729447465385995;0.000877060003040405	REV-ERBalpha	217166	Nr1d1	10090			881	catalase	12359	Cat	10090			1054	random	s3		pre	dbTF		
20158574:2:HIF-1:vascular endothelial growth factor	The transcription factors hypoxia inducible factors 1 and 2 ([TF] and HIF-2) regulate multiple responses to physiological hypoxia such as transcription of the hormone erythropoietin to enhance red blood cell proliferation, [TG] to promote angiogenesis and glycolytic enzymes to increase glycolysis.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9338901217006793;0.0623349711042002;0.003774907195120458	HIF-1	3091	HIF1A	9606			109	vascular endothelial growth factor	7422	VEGFA	9606			272	random	s3		pre	dbTF		
28254546:0:RelB:aryl hydrocarbon receptor	[TF] attenuates cigarette smoke extract-induced apoptosis in association with transcriptional regulation of the [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9968629183958122;0.001541898428227041;0.0015951831759608251	RelB	19698	Relb	10090			0	aryl hydrocarbon receptor	11622	Ahr	10090			112	random	s3		pre	dbTF		
15608685:4:p53:dapk1	Here, we describe a new systematic analysis of p53 targets using oligonucleotide chips, and report the identification of [TG] as a novel [TF] target.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9959162098262564;0.0031714864943275466;0.000912303679416018	p53	7157	TP53	9606			708	dapk1	69635	Dapk1	10090			691	random	s3		pre	dbTF		
27806127:12:PXR:PPARgamma	Hepatic [TG], a downstream target of [TF], was transcriptionally up-regulated.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.5858711081283706;0.4055875074886773;0.008541384382952008	PXR	18171	Nr1i2	10090			1206	PPARgamma	19016	Pparg	10090			1172	random	s3		pre	dbTF		
24548419:5:STAT3:tumor necrosis factor receptor 1	Both WT and [TF] KO MEF expressed similar levels of [TG] (TNFR1) and exhibited comparable IkappaBalpha degradation with TNFalpha.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.4100595832058882;0.18928407844565504;0.4006563383484568	STAT3	20848	Stat3	10090			545	tumor necrosis factor receptor 1	21937	Tnfrsf1a	10090			586	random	s3		pre	dbTF	mutation	
20799333:4:Runx1:Runx1	Herewith, we report the identification of an intronic [TG] enhancer, [TF] +24 mouse conserved noncoding element (mCNE), using a combinatorial in silico approach involving comparative genomics and retroviral integration sites mapping.	TRI	ACTIVATION	F	Not TRI			0.49580547202906733;0.4997541708761924;0.00444035709474037	Runx1	12394	Runx1	10090			380	Runx1	861	RUNX1	9606			364	random	s3		pre	dbTF		
26749286:9:Gfi1:Tbx21	[TF] binds to the [TG], Eomes and Runx2 gene loci and reduces the histone H3K4 methylation levels in part by modulating Lsd1 recruitment.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9346718132839125;0.009716905258310688;0.05561128145777679	Gfi1	14581	Gfi1	10090			999	Tbx21	57765	Tbx21	10090			1017	random	s3		pre	dbTF		
31812951:5:MYC:Cyclin A1	In SH-SY5Y neuronal cells and primary human neuron cultures, H2O2 downregulated Lnc-EPIC1 and key [TF] targets ([TG], CDC20 and CDC45).	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9512498265457684;0.046396789300134925;0.00235338415409673	MYC	4609	MYC	9606			421	Cyclin A1	8900	CCNA1	9606			434	random	s3		pre	dbTF		
19786833:5:Dnmt3a:CCND1	By using the [TF]/c-myc interaction as an example, we here showed that this interaction promotes the site-specific methylation of CG dinucleotides localized in c-myc boxes of promoter regions of CDKN2a, [TG] and TIMP2 genes.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9954564232010342;0.002452931986057783;0.0020906448129080677	Dnmt3a	1788	DNMT3A	9606			394	CCND1	595	CCND1	9606			586	random	s3		pre	dbTF		
20226654:6:Fra-2:L1-CAM	By global gene expression analysis and subsequent validation of selected genes, we identified a number of proteins involved in cell-cell or cell-matrix interactions that were up- or down-regulated in [TF] overexpressing cells, e.g. connexin 43, ICAM-1, [TG], integrin beta 2, integrin beta 4, and integrin alpha 6.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.5678744450597089;0.32668239814444805;0.10544315679584308	Fra-2	2355	FOSL2	9606			991	L1-CAM	3897	L1CAM	9606			1045	random	s3		pre	dbTF	mutation	
11298807:3:CREB:c-fos	Here, using immunocytochemistry, we investigated the molecular basis of this process in the rat and show that retrieval of a cued fear memory induces the activation, by phosphorylation, of the transcription factor CREB within the basal and lateral nuclei of the amygdala, as well as expression of the [TF]-regulated immediate-early gene, [TG], in the basal amygdala.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9651983325697875;0.03317892923731818;0.0016227381928943206	CREB	81646	Creb1	10116			519	c-fos	314322	Fos	10116			556	random	s3		pre	dbTF		
23791181:8:CTCF:Xist	We demonstrate that [TF] is an RNA-binding protein and is titrated away from the [TG] promoter by Jpx RNA.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.8433903894678191;0.020218243277349727;0.13639136725483117	CTCF	10664	CTCF	9606			679	Xist	7503	XIST	9606			740	random	s3		pre	dbTF		
19576172:8:E2F1:p73	Taken together, our present study indicates that [TF] has a dual role in the regulation of [TG].	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9977929804768307;0.0013516488150043678;0.0008553707081649694	E2F1	1869	E2F1	9606			1045	p73	7161	TP73	9606			1087	random	s3		pre	dbTF		
29253845:15:STAT3:TGF-beta	The effects on [TG] expression were blocked by NF-kappaB and [TF] inhibition.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.8135667767063017;0.1758834051872317;0.010549818106466477	STAT3	6774	STAT3	9606			1765	TGF-beta	7040	TGFB1	9606			1715	random	s3		pre	dbTF	mutation	
19901197:5:ERRalpha:Gcgr	In addition, [TF] regulates the expression of receptors implicated in the systemic regulation of blood pressure (Ghr, [TG], Lepr, Npy1r) and of genes within the renin-angiotensin pathway (Ren1, Agt, Ace2).	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9976910661322561;0.001381341701608339;0.0009275921661355307	ERRalpha	26379	Esrra	10090			838	Gcgr	14527	Gcgr	10090			947	random	s3		pre	dbTF		
16687129:6:NF-kappaB:cIAP1	In the present study, we used quantitative real-time reverse transcriptase-polymerase chain reaction (RT-PCR) to determine the effects of 50mM ethanol and 100nM of ipsapirone, a 5-HT(1A) agonist, on the expression of several [TF]-dependent antiapoptotic genes: X-linked inhibitor of apoptosis protein (XIAP), [TG], cIAP2, Bcl-2, and Bcl-xl.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.871789975859017;0.12540224951128956;0.002807774629693557	NF-kappaB	Complex:NFKB	NFKB	9606			922	cIAP1	329	BIRC2	9606			1011	random	s3	NFKB	pre	dbTF		
12642581:16:AP-2alpha:FGFR4	[TF] and chromatin changes may contribute to the utilization of an alternative transcription start site leading to the genesis of the tumorigenic ptd-[TG] isoform.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9538222469572881;0.039680267520661686;0.006497485522050223	AP-2alpha	7020	TFAP2A	9606			2138	FGFR4	2264	FGFR4	9606			2293	random	s3		pre	dbTF		
26361845:10:FOXN4:MMP9	Finally, we revealed [TF] as a novel transcription factor that could modulate MMP2 and [TG] transcriptional activity.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9968382408831361;0.0018927531957056301;0.001269005921158164	FOXN4	121643	FOXN4	9606			1162	MMP9	4318	MMP9	9606			1229	random	s3		pre	dbTF		
26267381:13:ZFHX3:NPPA	Both [TF] and PITX2c regulate expression of [TG], TBX5 and NKX2.5.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9978028818073046;0.0011922011395569564;0.001004917053138367	ZFHX3	463	ZFHX3	9606			1978	NPPA	4878	NPPA	9606			2018	random	s3		pre	dbTF		
34298826:0:Estrogen Receptor-Alpha:AMPK	[TF] and p53 Status as Regulators of [TG] and mTOR in Luminal Breast Cancer.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9974729529274735;0.0017368545348157793;0.0007901925377107901	Estrogen Receptor-Alpha	2099	ESR1	9606			0	AMPK	5563	PRKAA2	9606			56	random	s3		pre	dbTF		
23472141:11:Osx:ALP	Thus, we postulate that during the process of Osx-controlled osteogenesis, [TF] has the ability to coordinately modulate Runx2, Sclerostin, [TG] and Dlx5 proteins at levels appropriate for optimal osteoblast differentiation and function, at least in part, through regulation of specific miRNAs.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9959292171426322;0.00314186643810815;0.0009289164192597562	Osx	121340	SP7	9606			1279	ALP	250	ALPP	9606			1343	random	s3		pre	dbTF		
21630092:7:Id1:beta1-integrin	Inhibiting p53 function using PFT-alpha, a functional inhibitor of p53, increased the expression of beta1-integrin and promoted cell migration even in Id1-silencing endothelial cells, demonstrating that the [TF] knockdowns induced inhibition of endothelial cell migration and the expression of [TG] were controlled by p53.	TRI	REPRESSION	F	TRI	UNDEFINED		0.17655800640025307;0.09086578610873666;0.7325762074910104	Id1	3397	ID1	9606			1183	beta1-integrin	3688	ITGB1	9606			1269	random	s3		pre	dbTF		
32774721:10:p53:Bcl-2	Further mechanistic study revealed that MAGEA3 interacts with KAP1, thereby suppressing p53 transcriptional activity, thus suppressing [TF]-mediated regulation of the expression of genes involved in the cell cycle (p21, cyclin D1) and apoptosis (Bax, [TG], and PUMA).	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9201669370472879;0.07729464651349947;0.0025384164392126853	p53	7157	TP53	9606			1474	Bcl-2	596	BCL2	9606			1589	random	s3		pre	dbTF		
21703235:4:AHR:cytochrome P450 1A1	In this study, we examined the ability of these compounds to induce [TF]-dependent regulation of [TG] (CYP1A1) and CYP1B1 in T-47D human breast cancer cells.	TRI	UNDEFINED	T	TRI	UNDEFINED		0.9955879903757441;0.003748988977583356;0.0006630206466724573	AHR	196	AHR	9606			622	cytochrome P450 1A1	1543	CYP1A1	9606			650	random	s3		pre	dbTF		
32978517:0:HIF-1alpha:XPC	Oroxylin A reverses hypoxia-induced cisplatin resistance through inhibiting [TF] mediated [TG] transcription.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0036914772770073245;0.9940271686322217;0.0022813540907709842	HIF-1alpha	3091	HIF1A	9606			76	XPC	7508	XPC	9606			96	random	s3		pre	dbTF		
37876448:4:NF-kappaB:iNOS	It was revealed that DK effectively downregulated expression levels of [TG] and COX-2 due to inhibition of [TF] activation and suppressing the phosphorylation of p38 and jun N-terminal kinase (JNK) mitogen-activated protein kinase (MAPK) phosphorylation.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0018572034236582268;0.9955220209379482;0.002620775638393518	NF-kappaB	Complex:NFKB	NFKB	10090			974	iNOS	18126	Nos2	10090			938	random	s3	NFKB	pre	dbTF		
22197802:9:NF-kappaB:interleukin-6	In addition, EF31 exhibited greater inhibition of [TF] nuclear translocation as well as the induction of downstream inflammatory mediators including pro-inflammatory cytokine mRNA and protein (tumor necrosis factor-alpha, interleukin-1beta, and [TG]).	TRI	ACTIVATION	F	Not TRI			0.0038184478499085606;0.9930113396835619;0.003170212466529467	NF-kappaB	Complex:NFKB	NFKB	10090			1317	interleukin-6	16193	Il6	10090			1517	random	s3	NFKB	pre	dbTF		
11925428:12:PPAR alpha:apoB	These findings explain the difference in the rate of secretion of the two [TG] proteins seen after [TF] activation.	TRI	ACTIVATION	F	Not TRI			0.2193309291942481;0.7747903636423981;0.005878707163353788	PPAR alpha	25747	Ppara	10116			1804	apoB	54225	Apob	10116			1779	random	s3		pre	dbTF		
35437317:4:PAX8:XPR1	In patient-derived tumor samples, we observed frequent [TF]-dependent overexpression of SLC34A2, XPR1 copy number amplifications and [TG] messenger RNA overexpression.	TRI	ACTIVATION	F	Not TRI			0.010270648674289971;0.9886862675813053;0.0010430837444048225	PAX8	7849	PAX8	9606			591	XPR1	9213	XPR1	9606			669	random	s3		pre	dbTF		correlation; but SLC34A2 is stated to be TG
29884889:0:Forkhead box C1:FGFR4	[TF] promotes colorectal cancer metastasis through transactivating ITGA7 and [TG] expression.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.001992882494655614;0.9967499924051121;0.0012571251002323094	Forkhead box C1	2296	FOXC1	9606			0	FGFR4	2264	FGFR4	9606			88	random	s3		pre	dbTF		
32735773:9:ZNF649:ATG5	Mechanically, [TF]-AS1 was associated with PTBP1 protein, which further promoted the transcription activity of the [TG] gene.	TRI	ACTIVATION	F	Not TRI			0.0042183236895964454;0.9949168150978774;0.0008648612125262181	ZNF649	65251	ZNF649	9606	NER&norm	"correct NER is ""ZNF649-AS1""; should be normalized to ZNF649-AS1 (not dbTF)"	1205	ATG5	9474	ATG5	9606			1308	random	s3		pre	dbTF		regulator is PTBP1
23525438:6:PPAR:Fabp4	Luciferase reporter constructs of the [TG] and CD36 promoters were markedly activated by pioglitazone in HCMECs through canonical [TF]-responsive elements.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.00723586493115171;0.9918514675754001;0.0009126674934481596	PPAR	19013	Ppara	10090			1133	Fabp4	2167	FABP4	9606			1040	random	s3		pre	dbTF		
25121739:13:c-Fos:CTGF	Taken together, our results suggest that CXCL12, acting through CXCR4, activates the Rac/ERK and JNK signaling pathways, which in turn initiates c-Jun phosphorylation, and recruits c-Jun and [TF] to the CTGF promoter and ultimately induces [TG] expression in human lung fibroblasts.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.009220301387347026;0.9896599033114585;0.0011197953011945132	c-Fos	2353	FOS	9606			1896	CTGF	1490	CCN2	9606			1946	random	s3		pre	dbTF		
10453032:0:NF-kappa B:cyclooxygenase-2	Superoxide attenuates macrophage apoptosis by [TF] and AP-1 activation that promotes [TG] expression.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0022796894060176536;0.996441951315509;0.0012783592784733895	NF-kappa B	Complex:NFKB	NFKB	10090			46	cyclooxygenase-2	19225	Ptgs2	10090			91	random	s3	NFKB	pre	dbTF		
34790580:11:HOXD10:miR-7	Restoration of the expression of [TF] in 5-fluorouracil (5-FU)-resistant cells significantly upregulates the expressions of [TG] and IGFBP3 and enhances chemosensitivity to 5-FU.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.003654864354174725;0.9907573535092972;0.0055877821365281	HOXD10	3236	HOXD10	9606			1544	miR-7	10859	LILRB1	9606	normalisation	MIR7-1	1637	random	s3		pre	dbTF		
34502319:2:MLL:MEIS1	HOXA9 and [TG] are frequently upregulated in acute myeloid leukemia (AML), including those with [TF]-rearrangement.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.01926735335146081;0.9784972971973249;0.0022353494512142172	MLL	4297	KMT2A	9606			219	MEIS1	17268	Meis1	10090			132	random	s3		pre	dbTF		
26797706:10:C/EBPbeta:PPARgamma	The cAMP triggered the activity of [TF] which is a critical inducer of [TG] and C/EBPalpha activation in the early stage of adipogenic differentiation, and this is further affected by ROS production.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0037656910004885127;0.9953482631967848;0.0008860458027265713	C/EBPbeta	1051	CEBPB	9606			1479	PPARgamma	5468	PPARG	9606			1520	random	s3		pre	dbTF		
22675442:11:Smad1:hepcidin	CONCLUSIONS/SIGNIFICANCE: TNFalpha inhibits [TG] expression in two distinct types of innate colitis, with down-regulation of [TF] protein playing an important role in this process.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.012464362845989622;0.6397074818726939;0.3478281552813165	Smad1	17125	Smad1	10090			1675	hepcidin	84506	Hamp	10090			1590	random	s3		pre	dbTF		
20521099:11:NF-kappaB:MMP-9	Taken together, it was concluded that by targeting [TF] signaling, PA inhibited breast cancer cell invasion through decreasing [TG] expression.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.003805854609939509;0.9862400530833223;0.009954092306738082	NF-kappaB	Complex:NFKB	NFKB	9606			1769	MMP-9	4318	MMP9	9606			1850	random	s3	NFKB	pre	dbTF	mutation	
22573868:6:NF-kappaB:IL-15	We subsequently demonstrated that the [TF] signaling pathway was essential for PRRSV infection-induced [TG] production.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.004120173804303617;0.995098109420126;0.0007817167755703963	NF-kappaB	Complex:NFKB	NFKB	9606			825	IL-15	3600	IL15	9606			895	random	s3	NFKB	pre	dbTF		
17533374:8:HIF-1:CXCR2	Attenuation of hypoxia-inducible factor (HIF-1) and nuclear factor-kappaB (NF-kappaB) transcriptional activity using small interfering RNA (siRNA), a [TF] dominant-negative and pharmacological inhibitors, abrogated hypoxia-induced transcription of CXCR1 and [TG] in PC3 cells.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0013933600096771703;0.9967437398972253;0.001862900093097497	HIF-1	3091	HIF1A	9606			1135	CXCR2	3579	CXCR2	9606			1244	random	s3		pre	dbTF	mutation	
36569120:7:NFkappaB:AHSG	Results: We found that FGF23 at 400 pg/ml activates nuclear translocation of [TF], possibly increasing [TG] transcription.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.006253827464897366;0.9911973262416968;0.0025488462934058604	NFkappaB	Complex:NFKB	NFKB	9606			1256	AHSG	197	AHSG	9606			1286	random	s3	NFKB	pre	dbTF		
27345620:14:GATA3:TOX	In CTCL cells, [TF] knockdown decreased [TG] mRNA and protein expression.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0016376448358550247;0.9912759560428054;0.0070863991213395774	GATA3	2625	GATA3	9606			1363	TOX	9760	TOX	9606			1389	random	s3		pre	dbTF	mutation	
9668108:3:p53:p21	The G1 cell cycle arrest is in part caused by the [TF]-dependent transcriptional activation of the CDK inhibitor, [TG](Cip1/Waf1).	TRI	ACTIVATION	T	TRI	ACTIVATION		0.002538389497111654;0.9963970083619365;0.001064602140951946	p53	7157	TP53	9606			259	p21	1026	CDKN1A	9606			322	random	s3		pre	dbTF		
21718312:6:GR:DUSP1	EXPERIMENTAL APPROACH: Dissociated properties of two SGRMs were confirmed using [TF]- and NF-kappaB-dependent reporters, and capacity to activate GC-responsive elements of the [TG] gene was tested.	TRI	ACTIVATION	F	Not TRI			0.032099863607834844;0.9657033804658204;0.002196755926344777	GR	14815	Nr3c1	10090			960	DUSP1	19252	Dusp1	10090			1054	random	s3		pre	dbTF		
17936562:2:Raf:Dmp1	[TG] (Dmtf1) is activated by oncogenic Ras-[TF] signaling and induces cell-cycle arrest in an Arf, p53-dependent fashion.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.002789587005662125;0.9963855317595374;0.0008248812348005405	Raf	387609	Zhx2	10090	normalisation	RAF1	111	Dmp1	13406	Dmp1	10090			68	random	s3		pre	dbTF		synthax ok, but RAF1 is not dbTF
25610489:8:Nrf2:GCLC	Lower MDA, higher antioxidant enzymes (SOD, CAT, and GSH-Px) activities, and upregulated [TF]/ARE mediated antioxidant enzymes (HO-1, Trx, GCLM, and [TG]) expression were also detected in the supplemented group.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.013076393820242846;0.9847057663756474;0.0022178398041096717	Nrf2	83619	Nfe2l2	10116			1141	GCLC	25283	Gclc	10116			1201	random	s3		pre	dbTF		
27181362:6:HIF-1alpha:PFKFB4	Furthermore, we identified the hypoxia-responsive elements (HRE)-D from five putative HREs in the promoter region of [TG] and demonstrated that the HRE-D was transactivated by the [TF] in bladder cancer cells.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0065494803002037255;0.9922752766978071;0.0011752430019891715	HIF-1alpha	3091	HIF1A	9606			773	PFKFB4	5210	PFKFB4	9606			708	random	s3		pre	dbTF		
31148341:6:Hif-2alpha:ADAMTS4	Activation of [TF], which directly up-regulates MMP3, MMP13, [TG], IL-6 and COX-2 expression, is inhibited by CJM extract.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.0019817202998028524;0.9969382333724754;0.0010800463277217164	Hif-2alpha	13819	Epas1	10090			763	ADAMTS4	240913	Adamts4	10090			816	random	s3		pre	dbTF		
22354990:8:Nrl:Ppp2r5c	Thus, the histone acetyltransferase-containing Tip60 behaved as a coactivator in the [TF]-dependent transcriptional regulation of the rhodopsin and [TG] genes in the developing mouse retina.	TRI	UNDEFINED	F	TRI	ACTIVATION		0.827520094379427;0.16966212859132543;0.0028177770292475515	Nrl	18185	Nrl	10090			1248	Ppp2r5c	26931	Ppp2r5c	10090			1310	random	s3		pre	dbTF		
24464484:9:FXR:AQP2	In conclusion, the present study demonstrates that [TF] plays a critical role in the regulation of urine volume, and its activation increases urinary concentrating capacity mainly via up-regulating its target gene [TG] expression in the collecting ducts.	TRI	ACTIVATION	T	TRI	ACTIVATION		0.07648622948576393;0.9184138288394856;0.005099941674750463	FXR	20186	Nr1h4	10090			1257	AQP2	11827	Aqp2	10090			1419	random	s3		pre	dbTF		
